risk_regime,moisture_profile,forecast_24h_total_mm,soil_saturation_1h_ago,fc_vwc,sat_vwc,idf_24h_mm,max_sat,risk_internal,risk_display,risk_category,base_soil_risk,storm_factor,site_sensitivity_factor,delta_risk,delta_base_soil_risk,delta_storm_factor,delta_site_sensitivity,category_changed,qc_failed,qc_used_fallback,qc_all_sensors_normal
LOW,wet,0.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.0,0.0,0.0,0.0,-0.5095808804559422,0.0,False,False,False,True
LOW,wet,5.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.0,0.0,0.0,0.0,-0.5095808804559422,0.0,False,False,False,True
LOW,wet,10.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.0,0.0,0.0,0.0,-0.5095808804559422,0.0,False,False,False,True
LOW,wet,15.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.0,0.0,0.0,0.0,-0.5095808804559422,0.0,False,False,False,True
LOW,wet,20.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.040504725942256806,0.0,0.0,0.0,-0.4690761545136854,0.0,False,False,False,True
LOW,wet,25.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.15777376457067807,0.0,0.0,0.0,-0.35180711588526414,0.0,False,False,False,True
LOW,wet,30.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.2750428031990994,0.0,0.0,0.0,-0.23453807725684278,0.0,False,False,False,True
LOW,wet,35.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.39231184182752077,0.0,0.0,0.0,-0.11726903862842142,0.0,False,False,False,True
LOW,wet,40.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.5095808804559422,0.0,0.0,0.0,0.0,0.0,False,False,False,True
LOW,wet,45.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.6268499190843635,0.0,0.0,0.0,0.11726903862842131,0.0,False,False,False,True
LOW,wet,50.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.7441189577127847,0.0,0.0,0.0,0.2345380772568425,0.0,False,False,False,True
LOW,wet,55.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.8613879963412062,0.0,0.0,0.0,0.35180711588526403,0.0,False,False,False,True
LOW,wet,60.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.9786570349696275,0.0,0.0,0.0,0.46907615451368534,0.0,False,False,False,True
LOW,wet,65.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,1.0671482515186341,0.0,0.0,0.0,0.5575673710626919,0.0,False,False,False,True
LOW,wet,70.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,1.149236578558529,0.0,0.0,0.0,0.6396556981025868,0.0,False,False,False,True
LOW,wet,75.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,1.231324905598424,0.0,0.0,0.0,0.7217440251424817,0.0,False,False,False,True
