risk_regime,moisture_profile,moisture_bias,forecast_24h_total_mm,soil_saturation_1h_ago,fc_vwc,sat_vwc,idf_24h_mm,max_sat,risk_internal,risk_display,risk_category,base_soil_risk,storm_factor,site_sensitivity_factor,delta_risk,delta_base_soil_risk,delta_storm_factor,delta_site_sensitivity,category_changed,qc_failed,qc_used_fallback,qc_all_sensors_normal
LOW,wet,-0.05,40.0,0.35,0.36,0.48,60.91,-0.08777328753654667,0.0,0.0,LOW,0.0,0.5095808804559422,0.0,-11.278170673885533,-11.278170673885533,0.0,0.0,False,False,False,True
LOW,wet,-0.03,40.0,0.35,0.36,0.48,60.91,0.07889337913012015,0.0,0.0,LOW,0.0,0.5095808804559422,0.0,-11.278170673885533,-11.278170673885533,0.0,0.0,False,False,False,True
LOW,wet,-0.02,40.0,0.35,0.36,0.48,60.91,0.16222671246345355,0.0,0.0,LOW,0.0,0.5095808804559422,0.0,-11.278170673885533,-11.278170673885533,0.0,0.0,False,False,False,True
LOW,wet,-0.01,40.0,0.35,0.36,0.48,60.91,0.24556004579678697,3.9865040072188593,3.9865040072188593,LOW,3.9865040072188593,0.5095808804559422,0.0,-7.291666666666674,-7.291666666666674,0.0,0.0,False,False,False,True
LOW,wet,0.0,40.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.5095808804559422,0.0,0.0,0.0,0.0,0.0,False,False,False,True
LOW,wet,0.01,40.0,0.35,0.36,0.48,60.91,0.41222671246345377,24.458247883158307,24.458247883158307,LOW,18.5698373405522,0.5095808804559422,0.6222671246345379,13.180077209272774,7.291666666666668,0.0,0.6222671246345379,False,False,False,True
LOW,wet,0.02,40.0,0.35,0.36,0.48,60.91,0.4955600457967872,39.040031989132345,39.040031989132345,MODERATE,25.861504007218876,0.5095808804559422,1.0,27.76186131524681,14.583333333333343,0.0,1.0,True,False,False,True
LOW,wet,0.03,40.0,0.35,0.36,0.48,60.91,0.5788933791301202,50.04739257579021,50.04739257579021,HIGH,33.15317067388551,0.5095808804559422,1.0,38.76922190190468,21.87499999999998,0.0,1.0,True,False,False,True
LOW,wet,0.05,40.0,0.35,0.36,0.48,60.91,0.7455600457967865,72.06211374910598,72.06211374910598,HIGH,47.73650400721881,0.5095808804559422,1.0,60.78394307522044,36.45833333333328,0.0,1.0,True,False,False,True
MODERATE,wet,-0.05,40.0,0.0,0.36,0.48,60.91,0.07889337913012015,0.0,0.0,LOW,0.0,0.5095808804559422,0.7889337913012014,-39.040031989132224,-25.861504007218794,0.0,-0.21106620869879855,True,False,False,True
MODERATE,wet,-0.03,40.0,0.0,0.36,0.48,60.91,0.2455600457967865,6.017950229158525,6.017950229158525,LOW,3.986504007218818,0.5095808804559422,1.0,-33.0220817599737,-21.874999999999975,0.0,0.0,True,False,False,True
MODERATE,wet,-0.02,40.0,0.0,0.36,0.48,60.91,0.32889337913011946,17.025310815816386,17.025310815816386,LOW,11.278170673885452,0.5095808804559422,1.0,-22.014721173315838,-14.583333333333343,0.0,0.0,True,False,False,True
MODERATE,wet,-0.01,40.0,0.0,0.36,0.48,60.91,0.4122267124634529,28.032671402474303,28.032671402474303,MODERATE,18.569837340552123,0.5095808804559422,1.0,-11.00736058665792,-7.291666666666671,0.0,0.0,False,False,False,True
MODERATE,wet,0.0,40.0,0.0,0.36,0.48,60.91,0.49556004579678625,39.040031989132224,39.040031989132224,MODERATE,25.861504007218794,0.5095808804559422,1.0,0.0,0.0,0.0,0.0,False,False,False,True
MODERATE,wet,0.01,40.0,0.0,0.36,0.48,60.91,0.5788933791301197,50.047392575790155,50.047392575790155,HIGH,33.15317067388548,0.5095808804559422,1.0,11.007360586657931,7.291666666666682,0.0,0.0,True,False,False,True
MODERATE,wet,0.02,40.0,0.0,0.36,0.48,60.91,0.6622267124634531,61.05475316244807,61.05475316244807,HIGH,40.44483734055215,0.5095808804559422,1.0,22.01472117331585,14.583333333333353,0.0,0.0,True,False,False,True
MODERATE,wet,0.03,40.0,0.0,0.36,0.48,60.91,0.7455600457967865,72.06211374910598,72.06211374910598,HIGH,47.73650400721881,0.5095808804559422,1.0,33.02208175997375,21.875000000000018,0.0,0.0,True,False,False,True
MODERATE,wet,0.05,40.0,0.0,0.36,0.48,60.91,0.9122267124634533,94.07683492242184,94.07683492242184,SEVERE,62.31983734055217,0.5095808804559422,1.0,55.036802933289614,36.45833333333337,0.0,0.0,True,False,False,True
HIGH,wet,-0.05,40.0,0.8,0.36,0.48,60.91,0.41222671246345377,18.5698373405522,18.5698373405522,LOW,18.5698373405522,0.5095808804559422,0.0,-44.56041351338803,-36.458333333333286,0.0,-0.2889337913011991,True,False,False,True
HIGH,wet,-0.03,40.0,0.8,0.36,0.48,60.91,0.5788933791301202,33.15317067388551,33.15317067388551,MODERATE,33.15317067388551,0.5095808804559422,0.0,-29.977080180054713,-21.87499999999998,0.0,-0.2889337913011991,True,False,False,True
HIGH,wet,-0.02,40.0,0.8,0.36,0.48,60.91,0.6622267124634531,40.44483734055215,40.44483734055215,MODERATE,40.44483734055215,0.5095808804559422,0.0,-22.685413513388077,-14.583333333333343,0.0,-0.2889337913011991,True,False,False,True
HIGH,wet,-0.01,40.0,0.8,0.36,0.48,60.91,0.7455600457967865,47.73650400721881,47.73650400721881,MODERATE,47.73650400721881,0.5095808804559422,0.0,-15.393746846721413,-7.2916666666666785,0.0,-0.2889337913011991,True,False,False,True
HIGH,wet,0.0,40.0,0.8,0.36,0.48,60.91,0.82889337913012,63.130250853940225,63.130250853940225,HIGH,55.02817067388549,0.5095808804559422,0.2889337913011991,0.0,0.0,0.0,0.0,False,False,False,True
HIGH,wet,0.01,40.0,0.8,0.36,0.48,60.91,0.9122267124634533,94.07683492242184,94.07683492242184,SEVERE,62.31983734055217,0.5095808804559422,1.0,30.946584068481613,7.2916666666666785,0.0,0.7110662086988009,True,False,False,True
HIGH,wet,0.02,40.0,0.8,0.36,0.48,60.91,0.9955600457967867,105.08419550907973,100.0,SEVERE,69.61150400721883,0.5095808804559422,1.0,36.869749146059775,14.583333333333336,0.0,0.7110662086988009,True,False,False,True
HIGH,wet,0.03,40.0,0.8,0.36,0.48,60.91,1.07889337913012,112.8164178356794,100.0,SEVERE,74.7336027478072,0.5095808804559422,1.0,36.869749146059775,19.705432073921706,0.0,0.7110662086988009,True,False,False,True
HIGH,wet,0.05,40.0,0.8,0.36,0.48,60.91,1.245560045796787,127.91222664023887,100.0,SEVERE,84.73360274780723,0.5095808804559422,1.0,36.869749146059775,29.705432073921735,0.0,0.7110662086988009,True,False,False,True
SEVERE,wet,-0.05,75.0,0.0,0.36,0.48,60.91,0.24556004579678697,8.895185677575359,8.895185677575359,LOW,3.9865040072188593,1.231324905598424,1.0,-81.35038718327577,-36.458333333333286,0.0,0.0,True,False,False,True
SEVERE,wet,-0.03,75.0,0.0,0.36,0.48,60.91,0.4122267124634533,41.435340550885634,41.435340550885634,MODERATE,18.569837340552162,1.231324905598424,1.0,-48.81023230996549,-21.874999999999986,0.0,0.0,True,False,False,True
SEVERE,wet,-0.02,75.0,0.0,0.36,0.48,60.91,0.49556004579678625,57.705417987540734,57.705417987540734,HIGH,25.861504007218794,1.231324905598424,1.0,-32.54015487331039,-14.583333333333353,0.0,0.0,True,False,False,True
SEVERE,wet,-0.01,75.0,0.0,0.36,0.48,60.91,0.5788933791301197,73.97549542419594,73.97549542419594,HIGH,33.15317067388548,1.231324905598424,1.0,-16.270077436655185,-7.291666666666671,0.0,0.0,True,False,False,True
SEVERE,wet,0.0,75.0,0.0,0.36,0.48,60.91,0.6622267124634531,90.24557286085113,90.24557286085113,SEVERE,40.44483734055215,1.231324905598424,1.0,0.0,0.0,0.0,0.0,False,False,False,True
SEVERE,wet,0.01,75.0,0.0,0.36,0.48,60.91,0.7455600457967865,106.51565029750628,100.0,SEVERE,47.73650400721881,1.231324905598424,1.0,9.754427139148873,7.291666666666664,0.0,0.0,False,False,False,True
SEVERE,wet,0.02,75.0,0.0,0.36,0.48,60.91,0.82889337913012,122.78572773416148,100.0,SEVERE,55.02817067388549,1.231324905598424,1.0,9.754427139148873,14.583333333333343,0.0,0.0,False,False,False,True
SEVERE,wet,0.03,75.0,0.0,0.36,0.48,60.91,0.9122267124634533,139.05580517081668,100.0,SEVERE,62.31983734055217,1.231324905598424,1.0,9.754427139148873,21.87500000000002,0.0,0.0,False,False,False,True
SEVERE,wet,0.05,75.0,0.0,0.36,0.48,60.91,1.07889337913012,166.754949096281,100.0,SEVERE,74.7336027478072,1.231324905598424,1.0,9.754427139148873,34.28876540725505,0.0,0.0,False,False,False,True
