risk_regime,moisture_profile,baseline_soil,assumed_soil,forecast_24h_total_mm,soil_saturation_1h_ago,fc_vwc,sat_vwc,idf_24h_mm,max_sat,risk_internal,risk_display,risk_category,base_soil_risk,storm_factor,site_sensitivity_factor,delta_risk,delta_base_soil_risk,delta_storm_factor,delta_site_sensitivity,category_changed,qc_failed,qc_used_fallback,qc_all_sensors_normal
LOW,wet,clay_loam,sand,40.0,0.35,0.1,0.46,60.91,0.831853348598929,83.46045175098807,83.46045175098807,SEVERE,55.28716800240629,0.5095808804559422,1.0,72.18228107710254,44.008997328520756,0.0,1.0,True,False,False,True
LOW,wet,clay_loam,loamy_sand,40.0,0.35,0.12,0.46,60.91,0.8219623691047483,82.15396881681582,82.15396881681582,SEVERE,54.42170729666547,0.5095808804559422,1.0,70.87579814293028,43.14353662277993,0.0,1.0,True,False,False,True
LOW,wet,clay_loam,sandy_loam,40.0,0.35,0.18,0.45,60.91,0.812841501835609,80.9492087180823,80.9492087180823,SEVERE,53.62363141061579,0.5095808804559422,1.0,69.67103804419676,42.34546073673026,0.0,1.0,True,False,False,True
LOW,wet,clay_loam,loam,40.0,0.35,0.28,0.46,60.91,0.6637066971978578,61.250241870060165,61.250241870060165,HIGH,40.57433600481255,0.5095808804559422,1.0,49.97207119617463,29.296165330927018,0.0,1.0,True,False,False,True
LOW,wet,clay_loam,silt_loam,40.0,0.35,0.31,0.48,60.91,0.5262776793859673,43.09747282055162,43.09747282055162,MODERATE,28.549296946272133,0.5095808804559422,1.0,31.81930214666609,17.2711262723866,0.0,1.0,True,False,False,True
LOW,wet,clay_loam,silt,40.0,0.35,0.3,0.48,60.91,0.552595586086747,46.57376108784966,46.57376108784966,MODERATE,30.852113782590358,0.5095808804559422,1.0,35.29559041396413,19.573943108704825,0.0,1.0,True,False,False,True
LOW,wet,clay_loam,sandy_clay_loam,40.0,0.35,0.27,0.43,60.91,0.8091700343475902,80.4642507198085,80.4642507198085,SEVERE,53.30237800541413,0.5095808804559422,1.0,69.18608004592298,42.024207331528594,0.0,1.0,True,False,False,True
LOW,wet,clay_loam,clay_loam,40.0,0.35,0.36,0.48,60.91,0.3288933791301204,11.278170673885533,11.278170673885533,LOW,11.278170673885533,0.5095808804559422,0.0,0.0,0.0,0.0,0.0,False,False,False,True
LOW,wet,clay_loam,silty_clay_loam,40.0,0.35,0.38,0.51,60.91,0.14974773458164942,0.0,0.0,LOW,0.0,0.5095808804559422,0.0,-11.278170673885533,-11.278170673885533,0.0,0.0,False,False,False,True
LOW,wet,clay_loam,silty_clay,40.0,0.35,0.41,0.52,60.91,-0.09575267731259583,0.0,0.0,LOW,0.0,0.5095808804559422,0.0,-11.278170673885533,-11.278170673885533,0.0,0.0,False,False,False,True
LOW,wet,clay_loam,sandy_clay,40.0,0.35,0.36,0.44,60.91,0.49334006869518043,38.74679892771424,38.74679892771424,MODERATE,25.667256010828286,0.5095808804559422,1.0,27.468628253828705,14.389085336942752,0.0,1.0,True,False,False,True
LOW,wet,clay_loam,clay,40.0,0.35,0.42,0.5,60.91,-0.2566599313048194,0.0,0.0,LOW,0.0,0.5095808804559422,0.0,-11.278170673885533,-11.278170673885533,0.0,0.0,False,False,False,True
MODERATE,wet,clay_loam,sand,40.0,0.0,0.1,0.46,60.91,0.8874089041544844,90.79869214209332,90.79869214209332,SEVERE,60.14827911351738,0.5095808804559422,1.0,51.75866015296109,34.28677510629859,0.0,0.0,True,False,False,True
MODERATE,wet,clay_loam,loamy_sand,40.0,0.0,0.12,0.46,60.91,0.8807858985165127,89.92387040739784,89.92387040739784,SEVERE,59.56876612019486,0.5095808804559422,1.0,50.88383841826562,33.70726211297607,0.0,0.0,True,False,False,True
MODERATE,wet,clay_loam,sandy_loam,40.0,0.0,0.18,0.45,60.91,0.8869155759096827,90.73352923955595,90.73352923955595,SEVERE,60.10511289209724,0.5095808804559422,1.0,51.693497250423725,34.24360888487844,0.0,0.0,True,False,False,True
MODERATE,wet,clay_loam,loam,40.0,0.0,0.28,0.46,60.91,0.7748178083089684,75.92672265227063,75.92672265227063,SEVERE,50.29655822703472,0.5095808804559422,1.0,36.8866906631384,24.435054219815928,0.0,0.0,True,False,False,True
MODERATE,wet,clay_loam,silt_loam,40.0,0.0,0.31,0.48,60.91,0.6439247382094961,58.637276001715655,58.637276001715655,HIGH,38.843414593330905,0.5095808804559422,1.0,19.59724401258343,12.981910586112111,0.0,0.0,True,False,False,True
MODERATE,wet,clay_loam,silt,40.0,0.0,0.3,0.48,60.91,0.6637066971978575,61.25024187006012,61.25024187006012,HIGH,40.57433600481252,0.5095808804559422,1.0,22.2102098809279,14.712831997593728,0.0,0.0,True,False,False,True
MODERATE,wet,clay_loam,sandy_clay_loam,40.0,0.0,0.27,0.43,60.91,0.9341700343475896,96.9752915997953,96.9752915997953,SEVERE,64.23987800541408,0.5095808804559422,1.0,57.935259610663074,38.378373998195286,0.0,0.0,True,False,False,True
MODERATE,wet,clay_loam,clay_loam,40.0,0.0,0.36,0.48,60.91,0.49556004579678625,39.040031989132224,39.040031989132224,MODERATE,25.861504007218794,0.5095808804559422,1.0,0.0,0.0,0.0,0.0,False,False,False,True
MODERATE,wet,clay_loam,silty_clay_loam,40.0,0.0,0.38,0.51,60.91,0.30359388842780255,13.683543413985968,13.683543413985968,LOW,9.06446523743272,0.5095808804559422,1.0,-25.35648857514626,-16.797038769786074,0.0,0.0,True,False,False,True
MODERATE,wet,clay_loam,silty_clay,40.0,0.0,0.41,0.52,60.91,0.08606550450558507,0.0,0.0,LOW,0.0,0.5095808804559422,0.8606550450558507,-39.040031989132224,-25.861504007218794,0.0,-0.13934495494414934,True,False,False,True
MODERATE,wet,clay_loam,sandy_clay,40.0,0.0,0.36,0.44,60.91,0.7433400686951792,71.76888068768781,71.76888068768781,HIGH,47.54225601082818,0.5095808804559422,1.0,32.72884869855559,21.68075200360939,0.0,0.0,True,False,False,True
MODERATE,wet,clay_loam,clay,40.0,0.0,0.42,0.5,60.91,-0.006659931304820592,0.0,0.0,LOW,0.0,0.5095808804559422,0.0,-39.040031989132224,-25.861504007218794,0.0,-1.0,True,False,False,True
HIGH,wet,clay_loam,sand,40.0,0.8,0.1,0.46,60.91,0.9985200152655955,105.47517292430386,100.0,SEVERE,69.8705013357396,0.5095808804559422,1.0,36.869749146059775,14.842330661854113,0.0,0.7110662086988009,True,False,False,True
HIGH,wet,clay_loam,loamy_sand,40.0,0.8,0.12,0.46,60.91,0.9984329573400422,105.46367358856197,100.0,SEVERE,69.86288376725369,0.5095808804559422,1.0,36.869749146059775,14.834713093368201,0.0,0.7110662086988009,True,False,False,True
HIGH,wet,clay_loam,sandy_loam,40.0,0.8,0.18,0.45,60.91,1.0350637240578309,108.84655327803301,100.0,SEVERE,72.10382344346985,0.5095808804559422,1.0,36.869749146059775,17.07565276958436,0.0,0.7110662086988009,True,False,False,True
HIGH,wet,clay_loam,loam,40.0,0.8,0.28,0.46,60.91,0.9970400305311908,105.27968421669179,100.0,SEVERE,69.74100267147921,0.5095808804559422,1.0,36.869749146059775,14.712831997593717,0.0,0.7110662086988009,True,False,False,True
HIGH,wet,clay_loam,silt_loam,40.0,0.8,0.31,0.48,60.91,0.8792188558565552,83.4232645489053,83.4232645489053,SEVERE,59.431649887448586,0.5095808804559422,0.7921885585655519,20.29301369496507,4.403479213563095,0.0,0.5032547672643528,True,False,False,True
HIGH,wet,clay_loam,silt,40.0,0.8,0.3,0.48,60.91,0.8859289194200799,86.29964463132673,86.29964463132673,SEVERE,60.018780449256994,0.5095808804559422,0.8592891942007985,23.169393777386503,4.990609775371503,0.0,0.5703554028995994,True,False,False,True
HIGH,wet,clay_loam,sandy_clay_loam,40.0,0.8,0.27,0.43,60.91,1.1841700343475898,122.35183538815808,100.0,SEVERE,81.05020206085538,0.5095808804559422,1.0,36.869749146059775,26.022031386969893,0.0,0.7110662086988009,True,False,False,True
HIGH,wet,clay_loam,clay_loam,40.0,0.8,0.36,0.48,60.91,0.82889337913012,63.130250853940225,63.130250853940225,HIGH,55.02817067388549,0.5095808804559422,0.2889337913011991,0.0,0.0,0.0,0.0,False,False,False,True
HIGH,wet,clay_loam,silty_clay_loam,40.0,0.8,0.38,0.51,60.91,0.6112861961201105,35.98754216050966,35.98754216050966,MODERATE,35.98754216050966,0.5095808804559422,0.0,-27.142708693430563,-19.04062851337583,0.0,-0.2889337913011991,True,False,False,True
HIGH,wet,clay_loam,silty_clay,40.0,0.8,0.41,0.52,60.91,0.4497018681419489,21.848913462420526,21.848913462420526,LOW,21.848913462420526,0.5095808804559422,0.0,-41.2813373915197,-33.179257211464964,0.0,-0.2889337913011991,True,False,False,True
HIGH,wet,clay_loam,sandy_clay,40.0,0.8,0.36,0.44,60.91,1.2433400686951797,127.71115254098068,100.0,SEVERE,84.60040412171078,0.5095808804559422,1.0,36.869749146059775,29.57223344782529,0.0,0.7110662086988009,True,False,False,True
HIGH,wet,clay_loam,clay,40.0,0.8,0.42,0.5,60.91,0.49334006869517977,25.66725601082823,25.66725601082823,MODERATE,25.66725601082823,0.5095808804559422,0.0,-37.462994843112,-29.36091466305726,0.0,-0.2889337913011991,True,False,False,True
SEVERE,wet,clay_loam,sand,75.0,0.0,0.1,0.46,60.91,0.94296445971004,145.05707150598028,100.0,SEVERE,65.0093902246285,1.231324905598424,1.0,9.754427139148873,24.564552884076356,0.0,0.0,False,False,False,True
SEVERE,wet,clay_loam,loamy_sand,75.0,0.0,0.12,0.46,60.91,0.9396094279282775,144.40203198327967,100.0,SEVERE,64.71582494372427,1.231324905598424,1.0,9.754427139148873,24.270987603172124,0.0,0.0,False,False,False,True
SEVERE,wet,clay_loam,sandy_loam,75.0,0.0,0.18,0.45,60.91,0.9609896499837568,148.57632640474603,100.0,SEVERE,66.5865943735787,1.231324905598424,1.0,9.754427139148873,26.141757033026558,0.0,0.0,False,False,False,True
SEVERE,wet,clay_loam,loam,75.0,0.0,0.28,0.46,60.91,0.8859289194200797,133.92139962007084,100.0,SEVERE,60.01878044925697,1.231324905598424,1.0,9.754427139148873,19.573943108704825,0.0,0.0,False,False,False,True
SEVERE,wet,clay_loam,silt_loam,75.0,0.0,0.31,0.48,60.91,0.7615717970330257,109.64179948762714,100.0,SEVERE,49.13753224038974,1.231324905598424,1.0,9.754427139148873,8.69269489983759,0.0,0.0,False,False,False,True
SEVERE,wet,clay_loam,silt,75.0,0.0,0.3,0.48,60.91,0.7748178083089687,112.22796303786397,100.0,SEVERE,50.296558227034765,1.231324905598424,1.0,9.754427139148873,9.851720886482617,0.0,0.0,False,False,False,True
SEVERE,wet,clay_loam,sandy_clay_loam,75.0,0.0,0.27,0.43,60.91,1.0591700343475898,164.11439767018314,100.0,SEVERE,73.55020206085538,1.231324905598424,1.0,9.754427139148873,33.105364720303236,0.0,0.0,False,False,False,True
SEVERE,wet,clay_loam,clay_loam,75.0,0.0,0.36,0.48,60.91,0.6622267124634531,90.24557286085113,90.24557286085113,SEVERE,40.44483734055215,1.231324905598424,1.0,0.0,0.0,0.0,0.0,False,False,False,True
SEVERE,wet,clay_loam,silty_clay_loam,75.0,0.0,0.38,0.51,60.91,0.4574400422739565,50.262833077116646,50.262833077116646,HIGH,22.526003698971195,1.231324905598424,1.0,-39.98273978373448,-17.918833641580953,0.0,0.0,True,False,False,True
SEVERE,wet,clay_loam,silty_clay,75.0,0.0,0.41,0.52,60.91,0.26788368632376697,13.253673998079575,13.253673998079575,LOW,5.939822553329608,1.231324905598424,1.0,-76.99189886277155,-34.50501478722254,0.0,0.0,True,False,False,True
SEVERE,wet,clay_loam,sandy_clay,75.0,0.0,0.36,0.44,60.91,0.9933400686951794,154.89245221526286,100.0,SEVERE,69.41725601082821,1.231324905598424,1.0,9.754427139148873,28.972418670276063,0.0,0.0,False,False,False,True
SEVERE,wet,clay_loam,clay,75.0,0.0,0.42,0.5,60.91,0.24334006869517957,8.461755285366314,8.461755285366314,LOW,3.7922560108282117,1.231324905598424,1.0,-81.78381757548482,-36.65258132972394,0.0,0.0,True,False,False,True
